timestamp,hour,day_of_week,month,day,is_weekend,is_holiday,marketing_campaign,outage_flag,voice_calls,chats,emails,tickets,avg_handle_time,sla_breach
2025-01-01 00:00:00,0,2,1,1,0,1,0,0,0,11,5,6,5.67,0
2025-01-01 01:00:00,1,2,1,1,0,1,0,0,0,11,3,7,5.66,0
2025-01-01 02:00:00,2,2,1,1,0,1,0,0,0,5,12,9,6.05,0
2025-01-01 03:00:00,3,2,1,1,0,1,0,0,9,2,6,7,6.18,0
2025-01-01 04:00:00,4,2,1,1,0,1,0,0,5,0,7,7,5.71,0
2025-01-01 05:00:00,5,2,1,1,0,1,0,0,16,0,5,8,6.29,0
2025-01-01 06:00:00,6,2,1,1,0,1,0,0,18,0,5,10,4.79,0
2025-01-01 07:00:00,7,2,1,1,0,1,0,0,12,0,0,5,5.9,0
2025-01-01 08:00:00,8,2,1,1,0,1,0,0,19,4,7,12,6.47,0
2025-01-01 09:00:00,9,2,1,1,0,1,0,0,11,6,10,11,6.95,0
2025-01-01 10:00:00,10,2,1,1,0,1,0,0,10,9,9,11,6.02,0
2025-01-01 11:00:00,11,2,1,1,0,1,0,0,11,11,12,12,5.98,0
2025-01-01 12:00:00,12,2,1,1,0,1,0,0,20,12,11,7,5.81,0
2025-01-01 13:00:00,13,2,1,1,0,1,0,0,14,15,11,11,5.18,0
2025-01-01 14:00:00,14,2,1,1,0,1,0,0,25,23,2,6,5.4,0
2025-01-01 15:00:00,15,2,1,1,0,1,0,0,26,22,15,11,5.95,0
2025-01-01 16:00:00,16,2,1,1,0,1,0,0,27,18,11,10,6.44,0
2025-01-01 17:00:00,17,2,1,1,0,1,0,0,18,16,14,10,5.5,0
2025-01-01 18:00:00,18,2,1,1,0,1,0,0,32,14,12,13,6.15,0
2025-01-01 19:00:00,19,2,1,1,0,1,0,0,24,23,4,10,5.45,0
2025-01-01 20:00:00,20,2,1,1,0,1,0,0,22,21,5,9,5.75,0
2025-01-01 21:00:00,21,2,1,1,0,1,0,0,14,17,2,7,5.37,0
2025-01-01 22:00:00,22,2,1,1,0,1,0,0,5,16,5,5,4.65,0
2025-01-01 23:00:00,23,2,1,1,0,1,0,0,0,20,8,7,5.34,0
2025-01-02 00:00:00,0,3,1,2,0,0,0,0,0,13,7,6,5.62,0
2025-01-02 01:00:00,1,3,1,2,0,0,0,0,0,9,12,10,7.15,0
2025-01-02 02:00:00,2,3,1,2,0,0,0,0,0,8,10,8,5.73,0
2025-01-02 03:00:00,3,3,1,2,0,0,0,0,9,1,12,7,6.09,0
2025-01-02 04:00:00,4,3,1,2,0,0,0,0,6,8,10,9,6.34,0
2025-01-02 05:00:00,5,3,1,2,0,0,0,0,22,0,7,7,5.91,0
2025-01-02 06:00:00,6,3,1,2,0,0,0,0,18,0,15,7,5.89,0
